2024.05.29 16:06 | 平仓: 买入 | 订单: 407 | 盈亏: 2.62 | 原因: 应急仓位盈利目标平仓
2024.05.29 18:50 | 平仓: 买入 | 订单: 408 | 盈亏: 2.50 | 原因: 应急仓位盈利目标平仓
2024.05.29 18:50 | 平仓: 买入 | 订单: 409 | 盈亏: 2.64 | 原因: 应急仓位盈利目标平仓
2024.05.29 20:37 | 平仓: 买入 | 订单: 410 | 盈亏: 2.54 | 原因: 应急仓位盈利目标平仓
2024.05.30 05:33 | 平仓: 卖出 | 订单: 380 | 盈亏: 2.51 | 原因: 智能加仓盈利目标平仓
2024.05.30 05:41 | 平仓: 卖出 | 订单: 379 | 盈亏: 2.66 | 原因: 智能加仓盈利目标平仓
2024.05.30 05:42 | 平仓: 卖出 | 订单: 354 | 盈亏: 2.58 | 原因: 250点盈利平仓
2024.05.30 05:42 | 平仓: 卖出 | 订单: 355 | 盈亏: 2.62 | 原因: 250点盈利平仓
2024.05.30 13:35 | 平仓: 买入 | 订单: 421 | 盈亏: 2.76 | 原因: 应急仓位盈利目标平仓
2024.05.30 13:59 | 平仓: 买入 | 订单: 411 | 盈亏: 2.55 | 原因: 应急仓位盈利目标平仓
2024.05.30 15:22 | 平仓: 买入 | 订单: 423 | 盈亏: 2.66 | 原因: 应急仓位盈利目标平仓
2024.05.30 15:22 | 平仓: 买入 | 订单: 422 | 盈亏: 2.50 | 原因: 应急仓位盈利目标平仓
2024.05.31 03:45 | 平仓: 买入 | 订单: 424 | 盈亏: 2.58 | 原因: 应急仓位盈利目标平仓
2024.05.31 03:45 | 平仓: 买入 | 订单: 425 | 盈亏: 2.62 | 原因: 应急仓位盈利目标平仓
2024.05.31 07:02 | 平仓: 买入 | 订单: 427 | 盈亏: 2.60 | 原因: 应急仓位盈利目标平仓
2024.05.31 07:03 | 平仓: 买入 | 订单: 426 | 盈亏: 2.54 | 原因: 应急仓位盈利目标平仓
2024.05.31 09:47 | 平仓: 买入 | 订单: 429 | 盈亏: 2.76 | 原因: 应急仓位盈利目标平仓
2024.05.31 09:47 | 平仓: 买入 | 订单: 428 | 盈亏: 2.70 | 原因: 应急仓位盈利目标平仓
2024.05.31 12:21 | 平仓: 买入 | 订单: 430 | 盈亏: 2.52 | 原因: 应急仓位盈利目标平仓
2024.05.31 12:21 | 平仓: 买入 | 订单: 431 | 盈亏: 2.82 | 原因: 应急仓位盈利目标平仓
2024.05.31 13:07 | 平仓: 买入 | 订单: 433 | 盈亏: 2.56 | 原因: 应急仓位盈利目标平仓
2024.05.31 13:11 | 平仓: 买入 | 订单: 432 | 盈亏: 2.52 | 原因: 应急仓位盈利目标平仓
2024.05.31 21:52 | 平仓: 买入 | 订单: 396 | 盈亏: -40.09 | 原因: 智能加仓止损平仓
2024.06.03 06:49 | 平仓: 卖出 | 订单: 445 | 盈亏: 2.54 | 原因: 应急仓位盈利目标平仓
2024.06.03 06:50 | 平仓: 卖出 | 订单: 444 | 盈亏: 2.66 | 原因: 应急仓位盈利目标平仓
2024.06.04 06:04 | 平仓: 卖出 | 订单: 473 | 盈亏: 2.58 | 原因: 应急仓位盈利目标平仓
2024.06.04 06:05 | 平仓: 卖出 | 订单: 472 | 盈亏: 2.56 | 原因: 应急仓位盈利目标平仓
2024.06.04 10:22 | 平仓: 卖出 | 订单: 480 | 盈亏: 2.64 | 原因: 应急仓位盈利目标平仓
2024.06.04 10:39 | 平仓: 卖出 | 订单: 482 | 盈亏: 2.66 | 原因: 应急仓位盈利目标平仓
2024.06.04 10:40 | 平仓: 卖出 | 订单: 483 | 盈亏: 2.52 | 原因: 应急仓位盈利目标平仓
2024.06.04 14:01 | 平仓: 卖出 | 订单: 490 | 盈亏: 2.74 | 原因: 应急仓位盈利目标平仓
2024.06.04 14:01 | 平仓: 卖出 | 订单: 489 | 盈亏: 2.94 | 原因: 应急仓位盈利目标平仓
2024.06.05 17:23 | 平仓: 卖出 | 订单: 502 | 盈亏: -40.32 | 原因: 应急仓位止损平仓
2024.06.05 17:31 | 平仓: 卖出 | 订单: 503 | 盈亏: -40.14 | 原因: 应急仓位止损平仓
2024.06.06 12:04 | 平仓: 买入 | 订单: 524 | 盈亏: 2.54 | 原因: 应急仓位盈利目标平仓
2024.06.06 12:05 | 平仓: 买入 | 订单: 525 | 盈亏: 2.50 | 原因: 应急仓位盈利目标平仓
2024.06.06 15:30 | 平仓: 买入 | 订单: 528 | 盈亏: 3.96 | 原因: 应急仓位盈利目标平仓
2024.06.06 15:30 | 平仓: 买入 | 订单: 527 | 盈亏: 3.66 | 原因: 应急仓位盈利目标平仓
2024.06.06 16:30 | 平仓: 买入 | 订单: 530 | 盈亏: 2.58 | 原因: 应急仓位盈利目标平仓
2024.06.06 16:30 | 平仓: 买入 | 订单: 529 | 盈亏: 2.52 | 原因: 应急仓位盈利目标平仓
2024.06.06 16:45 | 平仓: 买入 | 订单: 536 | 盈亏: 2.54 | 原因: 应急仓位盈利目标平仓
2024.06.06 16:45 | 平仓: 买入 | 订单: 535 | 盈亏: 2.88 | 原因: 应急仓位盈利目标平仓
2024.06.06 20:20 | 平仓: 买入 | 订单: 538 | 盈亏: 2.54 | 原因: 应急仓位盈利目标平仓
2024.06.07 05:37 | 平仓: 买入 | 订单: 539 | 盈亏: 2.54 | 原因: 应急仓位盈利目标平仓
2024.06.07 05:38 | 平仓: 买入 | 订单: 540 | 盈亏: 2.54 | 原因: 应急仓位盈利目标平仓
2024.06.07 09:52 | 平仓: 买入 | 订单: 542 | 盈亏: 2.56 | 原因: 应急仓位盈利目标平仓
2024.06.07 09:52 | 平仓: 买入 | 订单: 541 | 盈亏: 2.52 | 原因: 应急仓位盈利目标平仓
2024.06.07 10:10 | 平仓: 买入 | 订单: 544 | 盈亏: 2.52 | 原因: 应急仓位盈利目标平仓
2024.06.07 10:10 | 平仓: 买入 | 订单: 543 | 盈亏: 2.60 | 原因: 应急仓位盈利目标平仓
2024.06.10 08:08 | 平仓: 卖出 | 订单: 561 | 盈亏: 2.62 | 原因: 应急仓位盈利目标平仓
2024.06.10 08:08 | 平仓: 卖出 | 订单: 562 | 盈亏: 2.56 | 原因: 应急仓位盈利目标平仓
2024.06.11 04:02 | 平仓: 卖出 | 订单: 573 | 盈亏: 2.61 | 原因: 应急仓位盈利目标平仓
2024.06.11 04:02 | 平仓: 卖出 | 订单: 572 | 盈亏: 2.61 | 原因: 应急仓位盈利目标平仓
2024.06.11 04:52 | 平仓: 卖出 | 订单: 576 | 盈亏: 2.64 | 原因: 应急仓位盈利目标平仓
2024.06.11 04:53 | 平仓: 卖出 | 订单: 575 | 盈亏: 2.66 | 原因: 应急仓位盈利目标平仓
2024.06.11 05:10 | 平仓: 卖出 | 订单: 577 | 盈亏: 2.66 | 原因: 应急仓位盈利目标平仓
2024.06.11 05:10 | 平仓: 卖出 | 订单: 578 | 盈亏: 2.56 | 原因: 应急仓位盈利目标平仓
2024.06.12 15:30 | 平仓: 卖出 | 订单: 580 | 盈亏: -45.53 | 原因: 应急仓位止损平仓
2024.06.12 15:30 | 平仓: 卖出 | 订单: 579 | 盈亏: -45.45 | 原因: 应急仓位止损平仓
